Company Name,Tariff / Rates,Tariff / Rates,Doing Business As,Certificate Number,City / Town,State
LUMY MOVING INC,lumy moving inc,https://www.mass.gov/doc/lumy-moving-inc/download,SAME,31927,BOSTON,MASSACHUSETTS
M & M MOVING AND STORAGE COMPANY,m m moving co,https://www.mass.gov/doc/m-m-moving-co/download,SAME,31310,WESTBOROUGH,MASSACHUSETTS
M & S EXPRESS INC,m s express 3282 tariff,https://www.mass.gov/doc/m-s-express-3282-tariff/download,SAME,3282,MEDFORD,MASSACHUSETTS
M AND M MOVERS,m and m movers 29599 updated tariff 2025,https://www.mass.gov/doc/m-and-m-movers-29599-updated-tariff-2025,SAME,29599,FALL RIVER,MASSACHUSETTS
MABEY'S MOVING & STORAGE INC,mabeys moving storage coin,https://www.mass.gov/doc/mabeys-moving-storage-coin/download,SAME,30164,RENSSELAER,NEW YORK
MAGNUM MOVING & STORAGE,magnum moving and storage inc 24730 tariff,https://www.mass.gov/doc/magnum-moving-and-storage-inc-24730-tariff,SAME,24730,EASTHAM,MASSACHUSETTS
MANYHANDS MOVING COMPANY LLC,manyhands tariffdeclaration,https://www.mass.gov/doc/manyhands-tariffdeclaration,SAME,24HG12,SALEM,MASSACHUSETTS
MARATHON MOVING COMPANY INC,marathon moving company inc,https://www.mass.gov/doc/marathon-moving-company-inc/download,SAME,30747,CANTON,MASSACHUSETTS
MARBLEHEAD MOVERS LLC,marblehead movers llc,https://www.mass.gov/doc/marblehead-movers-llc/download,SAME,31834,MARBLEHEAD,MASSACHUSETTS
MARK'S MOVING & STORAGE INC,marks moving and storage 24806 2025 tarriff,https://www.mass.gov/doc/marks-moving-and-storage-24806-2025-tarriff,SAME,24806,WESTBOROUGH,MASSACHUSETTS
MASS BAY MOVERS,mass bay movers,https://www.mass.gov/doc/mass-bay-movers/download,SAME,31790,PEABODY,MASSACHUSETTS
MASS TRUCKING SERVICES INC,mass trucking service tariff,https://www.mass.gov/doc/mass-trucking-service-tariff,SAME,25HG20,ROXBURY,MASSACHUSETTS
MASTER CLASS MOVING & STORAGE LLC,master class tariff,https://www.mass.gov/doc/master-class-tariff,SAME,25HG05,STOUGHTON,MASSACHUSETTS
MASTODON MOVING LLC,mastodon moving llc,https://www.mass.gov/doc/mastodon-moving-tariff-31594/download,SAME,31594,WESTBOROUGH,MASSACHUSETTS
MATERIAL INSTALLATIONS INC,material installations inc,https://www.mass.gov/doc/material-installations-inc/download,SAME,31118,NORTH ANDOVER,MASSACHUSETTS
"MCCARTHY'S MOVING & STORAGE, INC",mccarthys moving and storage inc 31798 tariff 2025,https://www.mass.gov/doc/mccarthys-moving-and-storage-inc-31798-tariff-2025,SAME,31798,WEYMOUTH,MASSACHUSETTS
MCCOLLISTER'S MOVING & STORAGE OF MA,mccollisters mvg strg of ma,https://www.mass.gov/doc/mccollisters-mvg-strg-of-ma/download,SAME,3912,BURLINGTON,NEW JERSEY
MCGRIFF TRUCKING LLC,mcgriff trucking llc,https://www.mass.gov/doc/mcgriff-trucking-llc/download,SAME,32000,WARE,MASSACHUSETTS
"MCLAUGHLIN MOVING CO., INC.",mclaughlin moving co inc,https://www.mass.gov/doc/mclaughlin-moving-co-inc/download,SAME,3852,PORTSMOUTH,NEW HAMPSHIRE
"MCLAUGHLIN TRANSP. SYS., INC.",mclaughlin transp sys inc,https://www.mass.gov/doc/mclaughlin-transp-sys-inc/download,SAME,4097,NASHUA,NEW HAMPSHIRE
MEADE TRANSPORT COMPANY,meade transport company,https://www.mass.gov/doc/meade-transport-company/download,SAME,30835,WEYMOUTH,MASSACHUSETTS
MEGAMEN MOVING & STORAGE LLC,megamen moving storage llc 31870 tariff,https://www.mass.gov/doc/megamen-moving-storage-llc-31870-tariff/download,SAME,31870,WOBURN,MASSACHUSETTS
"MICHAEL'S MOVERS, INC.",michaels movers inc,https://www.mass.gov/doc/michaels-movers-inc/download,MICHAEL'S MOVING & STORAGE,30293,BOSTON,MASSACHUSETTS
MIGHTY MOVERS LLC,Pending,Pending,SAME,31969,MARLBORO,MASSACHUSETTS
MINDFUL MOVERZ,mindful moverz,https://www.mass.gov/doc/mindful-moverz,SAME,25HG15,MIDDLEBORO,MASSACHUSETTS
MINI MOVES & MORE INC,mini moves more inc,https://www.mass.gov/doc/mini-moves-more-inc/download,SAME,31145,ARLINGTON,MASSACHUSETTS
MISS CHERYL'S MOVING LLC,miss cheryls moving llc 31931 tariff 2025,https://www.mass.gov/doc/miss-cheryls-moving-llc-31931-tariff-2025,SAME,31931,WATERTOWN,MASSACHUSETTS
MOCANO MOVING INC,monaco moving tariff,https://www.mass.gov/doc/monaco-moving-tariff/download,SAME,32019,LYNN,MASSACHUSETTS
MOKA MOVING COMPANY LLC,moka moving company tariffs,https://www.mass.gov/doc/moka-moving-company-tariffs/download,SAME,24HG08,NEEDHAM,MASSACHUSETTS
MOVE AND CARE LLC,move and care llc,https://www.mass.gov/doc/move-and-care-llc/download,SAME,31854,WOBURN,MASSACHUSETTS
MOVE AND IMPROVE,move and improve,https://www.mass.gov/doc/move-and-improve/download,SAME,31901,NEWTON,MASSACHUSETTS
MOVE IT OR LOSE IT LLC,move it or lose it llc,https://www.mass.gov/doc/move-it-or-lose-it-llc/download,SAME,31972,CHELMSFORD,MASSACHUSETTS
MOVE ON LLC,move on llc tariff 062524,https://www.mass.gov/doc/move-on-llc-tariff-062524/download,SAME,23HG36,LEOMINSTER,MASSACHUSETTS
MOVERS COLLECTIVE LLC,movers,https://www.mass.gov/doc/movers/download,SAME,23HG06,RANDOLPH,MASSACHUSETTS
MOVERS ON THE GO,movers on the go,https://www.mass.gov/doc/movers-on-the-go/download,SAME,30697,REVERE,MASSACHUSETTS
"MOVING SPECIALIST, INC.",moving specialist inc 0,https://www.mass.gov/doc/moving-specialist-inc-0/download,FOUR GUYS AND A TRUCK,31964,AMHERST,MASSACHUSETTS
MOZART MOVING INC,mass trucking service tariff,https://www.mass.gov/doc/mass-trucking-service-tariff/download,SAME,31769,BOSTON,MASSACHUSETTS
"MR. MURRAYS MOVING, INC.",michael murray trucking,https://www.mass.gov/doc/michael-murray-trucking/download,SAME,27631,OXFORD,MASSACHUSETTS
NEW ENGLAND HOUSEHOLD MOVING & STORAGE INC,new england household mov sto inc 5836 tariff,https://www.mass.gov/doc/new-england-household-mov-sto-inc-5836-tariff,SAME,5836,HOLLISTON,MASSACHUSETTS
NEW ENGLAND OFFICE CONNECTION,new england office connection,https://www.mass.gov/doc/new-england-office-connection/download,SAME,26902,WEYMOUTH,MASSACHUSETTS
NEW GENERATION MOVING AND STORAGE,Pending,Pending,SAME,31791,BRIDGEWATER,MASSACHUSETTS
NEXT ADVENTURE MOVING LLC,next adventure moving llc,https://www.mass.gov/doc/next-adventure-moving-llc/download,SAME,31928,SAUGUS,MASSACHUSETTS
"NICK'S MOVING COMPANY, INC.",nicks moving company inc,https://www.mass.gov/doc/nicks-moving-company-inc/download,SAME,29539,EASTHAM,MASSACHUSETTS
NORTHAXIS TRANSPORT LLC,NORTHAXIS TRANSPORT LLC,https://www.mass.gov/doc/northaxis-transportation-tariff/download,SAME,25HG31,RANDOLPH,MASSACHUSETTS
NORTHEAST PRIME LOGISTICS LLC,northeast prime tariff 062524,https://www.mass.gov/doc/northeast-prime-tariff-062524/download,COLLEGE HUNKS HAULING JUNK AND MOVING,23HG35,WORCESTER,MASSACHUSETTS
OCTOPUS MOVING INC,octopus moving tariffs 2023 08242023,https://www.mass.gov/doc/octopus-moving-tariffs-2023-08242023/download,SAME,22HG05,MALDEN,MASSACHUSETTS
OLYMPIA MOVING & STORAGE,olympia moving rates 09262025,https://www.mass.gov/doc/olympia-moving-rates-09262025,"SPIKE, INC.",30313,WATERTOWN,MASSACHUSETTS
ON IT MOVERS LLC,on it movers tariff 062524,https://www.mass.gov/doc/on-it-movers-tariff-062524/download,SAME,23HG12,BOSTON,MASSACHUSETTS
OSCAR'S MOVING COMPANY LLC,oscars moving company 31320 tariff,https://www.mass.gov/doc/oscars-moving-company-31320-tariff/download,SAME,31320,NEWTON,MASSACHUSETTS
OTTO'S MOVING AND STORAGE LLC,ottos moving and storage llc 31738 tariff 2024,https://www.mass.gov/doc/ottos-moving-and-storage-llc-31738-tariff-2024/download,SAME,31738,BOSTON,MASSACHUSETTS
PACK & GO MOVING LLC,pac storage inc,https://www.mass.gov/doc/pac-storage-inc/download,SAME,23HG48,WALTHAM,MASSACHUSETTS
PARADISE MOVING & STORAGE INC,paradise moving storage 32006 tariff,https://www.mass.gov/doc/paradise-moving-storage-32006-tariff/download,SAME,32006,ASHLAND,MASSACHUSETTS
PATRIOT RELOCATION SERVICES INC,patriot relocation serv inc,https://www.mass.gov/doc/patriot-relocation-serv-inc/download,SAME,30881,FOXBORO,MASSACHUSETTS
"PAUL ARPIN VAN LINES, INC.",Pending,Pending,ARPIN MOVING INC.,30814,WEST WARWICK,RHODE ISLAND
"PAUL W. TAYLOR CO, INC,",paul w taylor moving rate sheet eff 1 1 2024,https://www.mass.gov/doc/paul-w-taylor-moving-rate-sheet-eff-1-1-2024,SAME,4745,WAKEFIELD,MASSACHUSETTS
PAULISTA MOVING INC,paulista moving inc tariff,https://www.mass.gov/doc/paulista-moving-inc-tariff,SAME,31356,WAKEFIELD,MASSACHUSETTS
"PEGASUS TRUCKING & MOVING, INC",pegasus trucking moving inc,https://www.mass.gov/doc/pegasus-trucking-moving-inc/download,SAME,30623,NEWTON,MASSACHUSETTS
PERPETUUM MOVING LLC,perpetuum moving 24hg04 tariff,https://www.mass.gov/doc/perpetuum-moving-24hg04-tariff/download,SAME,24HG04,NEWTON,MASSACHUSETTS
PHILIP P MASSAD MOVERS INC,philip p massad movers inc 4380 tarriff 2025,https://www.mass.gov/doc/philip-p-massad-movers-inc-4380-tarriff-2025,SAME,4380,WORCESTER,MASSACHUSETTS
PHOENIX MOVING INC,phoenix moving inc 32054 tariff,https://www.mass.gov/doc/phoenix-moving-inc-32054-tariff/download,PHOENIX MOVERS,32054,NATICK,MASSACHUSETTS
PIECE BY PIECE MOVERS LLC,piece by piece movers llc,https://www.mass.gov/doc/piece-by-piece-movers-llc/download,SAME,31464,NEWTON,MASSACHUSETTS
PINK ZEBRA MOVING OF BOSTON MA,pink zebra moving of boston 24hg09 tariff,https://www.mass.gov/doc/pink-zebra-moving-of-boston-24hg09-tariff,MAPLE TRAIL MOVERS LLC,24HG09,WALTHAM,MASSACHUSETTS
PLEASANT MOVING OF BOSTON,pleasant moving of boston,https://www.mass.gov/doc/pleasant-moving-of-boston/download,SAME,31529,BOSTON,MASSACHUSETTS
POINT B RELOCATION INC,point b relocation tariff 09 10 25 version,https://www.mass.gov/doc/point-b-relocation-tariff-09-10-25-version,JOHN PALMER MOVING & STORAGE,6736,ACTON,MASSACHUSETTS
POSEIDON MOVING,poseidonmovingmadputariffno1docxdocx,https://www.mass.gov/doc/poseidonmovingmadputariffno1docxdocx,SAME,31816,BROOKLINE,MASSACHUSETTS
PRECISION MOVING COMPANY,precision moving company,https://www.mass.gov/doc/precision-moving-company/download,SAME,31154,SOMERVILLE,MASSACHUSETTS
PREFERRED MOVERS LLC,preferred movers llc,https://www.mass.gov/doc/preferred-movers-llc/download,SAME,31465,MERRIMAC,MASSACHUSETTS
PREMIUM Q MOVING & STORAGE LLC,premium q moving and storage inc 31748 2025 tariff,https://www.mass.gov/doc/premium-q-moving-and-storage-inc-31748-2025-tariff,SAME,31748,MEDFORD,MASSACHUSETTS
PRIME MOVING AND STORAGE INC,Pending,Pending,SAME,25HG26,BOSTON,MASSACHUSETTS
PRIME MOVING BOSTON LLC,prime moving boston llc tariff,https://www.mass.gov/doc/prime-moving-boston-llc-tariff,SAME,24HG25,BOSTON,MASSACHUSETTS
PRIMO MOVING LLC,primo moving llcs 24hg05 tariff,https://www.mass.gov/doc/primo-moving-llcs-24hg05-tariff/download,SAME,24HG05,MEDFORD,MASSACHUSETTS
PROVENCHER VAN LINES,provencher van lines,https://www.mass.gov/doc/provencher-van-lines/download,SAME,31930,PEABODY,MASSACHUSETTS
PROXIMA MOVING & STORAGE,proxima moving 31848 tariff,https://www.mass.gov/doc/proxima-moving-31848-tariff/download,BOFF LLC,31848,SWAMPSCOTT,MASSACHUSETTS
PRUDENTIAL MOVING AND STORAGE LLC,prudential moving tariff,https://www.mass.gov/doc/prudential-moving-tariff/download,SAME,32015,FRAMINGHAM,MASSACHUSETTS
"R. B. COOKE & SON, INC.",r b cooke son inc,https://www.mass.gov/doc/r-b-cooke-son-inc/download,SAME,3864,HOLBROOK,MASSACHUSETTS
"RA MOVERS, LLC",ra movers,https://www.mass.gov/doc/ra-movers/download,SAME,31523,PLAINVILLE,MASSACHUSETTS
RABBITT TRUCKING CORPORATION,rabbitt trucking corporation,https://www.mass.gov/doc/rabbitt-trucking-corporation/download,SAME,31850,REHOBOTH,MASSACHUSETTS
RACE STREET PROPERTIES LLC,race street properties 24hg24b tariff,https://www.mass.gov/doc/race-street-eviction-services-tariff-24hg24b,SAME,24HG24B,HOLYOKE,MASSACHUSETTS
RAIMOND'S MOVERS INC,raimonds movers inc,https://www.mass.gov/doc/raimonds-movers-inc/download,SAME,31418,DEDHAM,MASSACHUSETTS
RARE MOVING & STORAGE COMPANY,rare moving storage company,https://www.mass.gov/doc/rare-moving-storage-company/download,RARE TRUCKING COMPANY,31520,BRAINTREE,MASSACHUSETTS
RAY THE MOVER,ray the mover 31842 tariff 2025,https://www.mass.gov/doc/ray-the-mover-31842-tariff-2025,MII MOVING AND STORAGE LLC,31842,MANCHESTER,NEW HAMPSHIRE
RC MASON MOVERS INC,rc mason movers inc,https://www.mass.gov/doc/rc-mason-movers-inc/download,SAME,2795,PEABODY,MASSACHUSETTS
REAL DEAL VAN LINES INC,real deal van lines tariff 062524,https://www.mass.gov/doc/real-deal-van-lines-tariff-062524/download,SAME,31720,LEOMINSTER,MASSACHUSETTS
RED LLAMA MOVING & STORAGE LLC,red llama moving and storage llc 32068 tariff 2025,https://www.mass.gov/doc/red-llama-moving-and-storage-llc-32068-tariff-2026pdf,SAME,32068,ANDOVER,MASSACHUSETTS
RELOQ MOVING SERVICES LLC,reloq moving service 24hg10 tariff,https://www.mass.gov/doc/reloq-moving-service-24hg10-tariff/download,SAME,24HG10,ASHLAND,MASSACHUSETTS
REXTON MOVING AND STORAGE Inc.,rexton moving and storage 24hg31 tariff,https://www.mass.gov/doc/rexton-moving-and-storage-24hg31-tariff/download,SAME,24HG31,WATERTOWN,MASSACHUSETTS
RGS MOVING STATEWIDE MOVING,Pending,Pending,SAME,31728,WEST BRIDGEWATER,MASSACHUSETTS
RICH MOVING & STORAGE,rich moving storage,https://www.mass.gov/doc/rich-moving-storage/download,SAME,30520,MASHPEE,MASSACHUSETTS
"ROAD WARRIOR MOVING & STORAGE., INC.",road warrior moving storage inc,https://www.mass.gov/doc/road-warrior-moving-storage-inc/download,SAME,30739,ARLINGTON,MASSACHUSETTS
"ROADRUNNER MVG & STORAGE, INC.",roadrunner mvg storage inc,https://www.mass.gov/doc/roadrunner-mvg-storage-inc/download,SAME,29262,BOSTON,MASSACHUSETTS
ROGER SITTERLY AND SON INC,roger sitterly and son inc movers tariff,https://www.mass.gov/doc/roger-sitterly-and-son-inc-movers-tariff,ATLAS VAN LINES,3334,SPRINGFIELD,MASSACHUSETTS
ROLLING STONES MOVING COMPANY,rolling stones tariff,https://www.mass.gov/doc/rolling-stones-tariff,SAME,24HG40,CAMBRIDGE,MASSACHUSETTS
ROUND THE CLOCK MOVING LLC,Pending,Pending,SAME,32048,BOSTON,MASSACHUSETTS
ROY'S MOVING INC,roys moving inc 31757,https://www.mass.gov/doc/roys-moving-inc-31757/download,SAME,31757,NEWTON,MASSACHUSETTS
RTM LLC,rtm llc moving tariff,https://www.mass.gov/doc/rtm-llc-moving-tariff,SAME,24HG38,HAVERHILL,MASSACHUSETTS
SAFE RESPONSIBLE MOVERS,safe responsible movers,https://www.mass.gov/doc/safe-responsible-movers/download,SAME,31608,BOSTON,MASSACHUSETTS
SALEM QUALITY SERVICES INC,salem quality services inc 32055 tariff,https://www.mass.gov/doc/salem-quality-services-inc-32055-tariff/download,SAME,32055,PEABODY,MASSACHUSETTS
SAME CITY MOVING LLC,same city moving llc 32062 tariff 2024,https://www.mass.gov/doc/same-city-moving-llc-32062-tariff-2024,SAME,32062,QUINCY,MASSACHUSETTS
SANTOS MOVING,santos moving,https://www.mass.gov/doc/santos-moving/download,SAME,31040,ASHLAND,MASSACHUSETTS
SCOTT MAYFLOWER,scott mayflower,https://www.mass.gov/doc/scott-mayflower/download,"SCOTT RELOCATION SERVICES, INC",30958,NORTH ATTLEBORO,MASSACHUSETTS
SteadyGo Movers ,SteadyGo Movers ,https://www.mass.gov/doc/steadygomoverstariffno1pdf/download,SAME ,,Waltham,MASSACHUSETTS
"SEVEN MOVING, LLC",seven moving llc 31865 tariffs,https://www.mass.gov/doc/seven-moving-llc-31865-tariffs,SAME,31865,BROOKLINE,MASSACHUSETTS
SHORT'S EXPRESS INC.,Pending,Pending,SAME,1301,MERRIMAC,MASSACHUSETTS
"SIMPSON BROTHERS MOVERS, INC.",simpson brothers movers inc,https://www.mass.gov/doc/simpson-brothers-movers-inc/download,SAME,4790,ARLINGTON,MASSACHUSETTS
SMALL HAUL,small haul,https://www.mass.gov/doc/small-haul/download,CHARLES SERVICES GROUP LLC,31474,BOSTON,MASSACHUSETTS
SMALL MOVES SPECIALISTS INC,small moves specialists 3312 tariff 2025,https://www.mass.gov/doc/small-moves-specialists-3312-tariff-2025,SAME,3312,SOUTH HADLEY,MASSACHUSETTS
SMART PENNY MOVING INC,smart penny moving inc,https://www.mass.gov/doc/smart-penny-moving-inc/download,SAME,31753,CAMBRIDGE,MASSACHUSETTS
SMOOTH MOVERS,smooth movers,https://www.mass.gov/doc/smooth-movers/download,SAME,31919,WESTFIELD,MASSACHUSETTS
SOUTHCOAST MVG STOR & PROP MGT,southcoast moving 31191 tariff,https://www.mass.gov/doc/southcoast-moving-31191-tariff/download,SAME,31191,NEW BEDFORD,MASSACHUSETTS
SPEEDY KING LABORS INC,speedy king labors tariff,https://www.mass.gov/doc/speedy-king-labors-tariff,SAME,25HG07,MEDFORD,MASSACHUSETTS
SPEEDY MOVING COMPANY,speedy moving company,https://www.mass.gov/doc/speedy-moving-company/download,SAME,31988,BOSTON,MASSACHUSETTS
SPS MOVERS,sps movers,https://www.mass.gov/doc/sps-movers/download,SAME,31369,FRANKLIN,MASSACHUSETTS
STAIRHOPPER MOVERS,stairhopper movers,https://www.mass.gov/doc/stairhopper-movers/download,SAME,31321,EVERETT,MASSACHUSETTS
STARK MOVING AND STORAGE INC,stark moving and storage inc,https://www.mass.gov/doc/stark-moving-and-storage-inc/download,SAME,31961,BOSTON,MASSACHUSETTS
STERLING CORPORATION,sterling corporation,https://www.mass.gov/doc/sterling-corporation/download,SAME,7580,LOWELL,MASSACHUSETTS
SUN ISLAND DELIVERY,sun island delivery,https://www.mass.gov/doc/sun-island-delivery/download,SUN LEASING CORP.,30809,BARNSTABLE,MASSACHUSETTS
T E ANDRESEN INC,te andresen inc 2614 tariff,https://www.mass.gov/doc/te-andresen-inc-2614-tariff/download,SAME,2614,SALISBURY,MASSACHUSETTS
TEAM ORANGE MOVING LLC,team orange moving llc tariff 062524,https://www.mass.gov/doc/team-orange-moving-llc-tariff-062524/download,SAME,23HG13,LUNENBURG,MASSACHUSETTS
THE MAINLAND CONNECTION,https://www.mass.gov/admin/ma dash/documents,https://www.mass.gov/admin/ma-dash/documents,ISLAND VIEW HOLDINGS LLC,24HG36,NANTUCKET,MASSACHUSETTS
THE TWO BROTHERS MOVING CO LLC,the two brothers moving co llc,https://www.mass.gov/doc/the-two-brothers-moving-co-llc/download,SAME,31888,SOMERVILLE,MASSACHUSETTS
TITAN MOVING & STORAGE,titan moving storage inc dbs deathwish piano movers tariff 062524,https://www.mass.gov/doc/titan-moving-storage-inc-dbs-deathwish-piano-movers-tariff-062524/download,SAME,27919,MALDEN,MASSACHUSETTS
TLC MOVING & STORAGE,tlc moving storage,https://www.mass.gov/doc/tlc-moving-storage/download,SAME,31638,HAVERHILL,MASSACHUSETTS
TOBIN SCIENTIFIC,tobin scientific tariff,https://www.mass.gov/doc/tobin-scientific-tariff,TOBIN & SONS MOVING & STORAGE LLC,24HG43,BEVERLY,MASSACHUSETTS
TOWN TO TOWN MOVERS INC,town to town movers inc,https://www.mass.gov/doc/town-to-town-movers-inc/download,SAME,30182,WORCESTER,MASSACHUSETTS
TRANSYLVANIA MOVING COMPANY LLC,transylvania moving company,https://www.mass.gov/doc/transylvania-moving-company/download,SAME,31999,BEVERLY,MASSACHUSETTS
TREND MOVING & STORAGE,trend moving storage,https://www.mass.gov/doc/trend-moving-storage/download,SAME,31942,LONDONDERRY,NEW HAMPSHIRE
"TRIPLE M MOVERS & STORAGE, INC",triple m movers storage inc,https://www.mass.gov/doc/triple-m-movers-storage-inc/download,SAME,30707,BROCKTON,MASSACHUSETTS
TROWT'S MOVING & EXPRESS CO.,trowts moving express co,https://www.mass.gov/doc/trowts-moving-express-co/download,SAME,6987,BEVERLY,MASSACHUSETTS
TROY'S MOVING & STORAGE,troys moving storage,https://www.mass.gov/doc/troys-moving-storage/download,SAME,29585,LOWELL,MASSACHUSETTS
TWO MEN AND A TRUCK,two men and a truck an3 31742 tariff,https://www.mass.gov/doc/two-men-and-a-truck-an3-31742-tariff,AN3 BOSTON LLC,31742,WILMINGTON,MASSACHUSETTS
TWO MEN AND A TRUCK,two men and a truck,https://www.mass.gov/doc/two-men-and-a-truck/download,ODYSSEY GROUP  PROVIDENCE CORPORATION,32014,ANN ARBOR,MICHIGAN
U HAUL CO OF MASS AND OHIO INC,Pending,Pending,SAME,31467,PHOENIX,ARIZONA
"VANGUARD MOVING SERVICES, LLC",vanguard moving services llc,https://www.mass.gov/doc/vanguard-moving-services-llc/download,SAME,30967,BARNSTABLE,MASSACHUSETTS
VARSITY MOVERS LLC,varsity movers 22hg08 tariff,https://www.mass.gov/doc/varsity-movers-22hg08-tariff/download,SAME,22HG08,HOPKINTON,MASSACHUSETTS
VIKING MOVING SERVICES INC,viking moving services inc,https://www.mass.gov/doc/viking-moving-services-inc/download,VIKING MOVERS,29497,ACTON,MASSACHUSETTS
VIP MOVERS BOSTON LLC,vip mover boston 23hg37 tariff,https://www.mass.gov/doc/vip-mover-boston-23hg37-tariff/download,SAME,23HG37,BEDFORD,MASSACHUSETTS
"W & W MOVING & STORAGE, LLC",w and w tariff 2025,https://www.mass.gov/doc/w-and-w-tariff-2025/download,SAME,1585,SOUTH HADLEY,MASSACHUSETTS
W.W. MOVING COMPANY,ww moving co,https://www.mass.gov/doc/ww-moving-co/download,SAME,30853,SOUTH HADLEY,MASSACHUSETTS
WAKEFIELD MOVING & STORAGE SERVICES LLC,wakefield moving storage inc 0,https://www.mass.gov/doc/wakefield-moving-storage-inc-0,SAME,3213,PEABODY,MASSACHUSETTS
WAN VENTURES LLC,wan ventures tariff 062524,https://www.mass.gov/doc/wan-ventures-tariff-062524/download,PRIME DELIVERY SERVICE,23HG14,WILMINGTON,MASSACHUSETTS
WELCH'S PROFESSIONAL SERVICES,welchs professional services 31896 tariff 2025,https://www.mass.gov/doc/welchs-professional-services-31896-tariff-2025,SAME,31896,MASHPEE,MASSACHUSETTS
"WILLIAM B MEYER, INC.",william b meyer inc 31212 tariff 2025,https://www.mass.gov/doc/william-b-meyer-inc-31212-tariff-2025,SAME,31212,STRATFORD,CONNECTICUT
WM DUGGAN CO INC,wm duggan co inc,https://www.mass.gov/doc/wm-duggan-co-inc/download,SAME,26799,WALPOLE,MASSACHUSETTS
YAMATO TRANSPORT USA INC,yamato transport usa inc 31452 tariff,https://www.mass.gov/doc/yamato-transport-usa-inc-31452-tariff/download,SAME,31452,EAST RUTHERFORD,NEW JERSEY
YOUR FRIEND WITH A TRUCK,your friend with a truck moving rates,https://www.mass.gov/doc/your-friend-with-a-truck-moving-rates/download,SAME,31887,NANTUCKET,MASSACHUSETTS
YOUR MOVE INC,your move inc tariff,https://www.mass.gov/doc/your-move-inc-tariff,SAME,31390,SOMERVILLE,MASSACHUSETTS
